TÍTULO ORIGINAL	Dinner With Friends (TV)
AÑO	 2001
DURACIÓN	84 min.
PAÍS	EEUU
DIRECTOR	Norman Jewison
GUIÓN	Donald Margulies (Novela: Donald Margulies)
MÚSICA	David Grusin
FOTOGRAFÍA	Roger Deakins
REPARTO	Dennis Quaid, Andie MacDowell, Greg Kinnear, Toni Collette, Taylor Emerson, Jake Fritz, Holliston Coleman, Angus T. Jones, Beau Holden, Dina Morrone, Ruth Reichl
PRODUCTORA	HBO
GÉNERO	Drama | Telefilm
SINOPSIS	Gabe y Karen, una pareja felizmente casada, descubre que sus amigos Tom y Beth no son tan felices como parecen. Una noche, Beth les cuenta que Tom la ha dejado por otra mujer y que están tramitando el divorcio. A raíz de esto, Gabe y Karen empiezan a cuestionarse la solidez de su relación. (FILMAFFINITY)
