11th August 2012 
new songs  - 35 
debut in top 100 at bottom of the list


   1. Carly Rae Jepsen - Call Me Maybe                        [03:14]
   2. Katy Perry - Wide Awake                                 [03:41]
   3. Maroon 5 - Payphone (Ft. Wiz Khalifa)                   [03:49]
   4. Flo Rida - Whistle                                      [03:45]
   5. Ellie Goulding - Lights                                 [03:33]
   6. Gotye - Somebody That I Used To Know                    [04:04]
   7. Rihanna - Where Have You Been                           [04:02]
   8. David Guetta - Titanium (feat. Sia)                     [04:05]
   9. Usher - Scream                                          [03:54]
  10. P!nk - Blow Me (One Last Kiss)                          [04:15]
  11. Fun. - Some Nights                                      [04:37]
  12. Cher Lloyd - Want U Back                                [03:35]
  13. Owl City & Carly Rae Jepsen - Good Time                 [03:26]
  14. Kanye West - Mercy (Feat. (feat. Big Sean, Pusha T & 2 Chainz)[05:31]
  15. Fun. Feat. Janelle Monae - We Are Young                 [04:11]
  16. One Direction - What Makes You Beautiful                [03:18]
  17. Calvin Harris Feat. Ne-Yo - Let's Go [Extended Mix]     [06:01]
  18. Demi Lovato - Give Your Heart A Break                   [03:25]
  19. Neon Trees - Everybody Talks                            [02:59]
  20. Nicki Minaj - Starships                                 [03:30]
  21. Flo Rida Feat. Sia - Wild Ones                          [03:53]
  22. Pontoon - Little Big Town                               [03:35]
  23. Jason Mraz - I Won't Give Up                            [03:58]
  24. The Wanted - Glad You Came                              [03:18]
  25. Kenny Chesney - Come Over                               [04:08]
  26. Havana Brown Feat. Pitbull - We Run the Night           [03:49]
  27. 2 Chainz - No Lie (feat. Drake)                         [03:59]
  28. Justin Bieber - As Long As You Love Me feat Big Sean    [03:47]
  29. Train - Drive by                                        [03:16]
  30. Alex Clare - Too Close                                  [04:16]
  31. Jason Aldean - Take a Little Ride                       [03:06]
  32. Wiz Khalifa - Work Hard, Play Hard                      [03:40]
  33. Luke Bryan - Drunk On You                               [03:33]
  34. Love And Theft - Angel Eyes                             [03:06]
  35. Hunter Hayes - Wanted                                   [03:49]
  36. Gloriana - (Kissed You) Good Night                      [03:52]
  37. Kelly Clarkson - What Doesn't Kill You (Stronger)       [03:41]
  38. Calvin Harris - Feel So Close                           [03:28]
  39. Ca$h Out - Cashin' Out                                  [03:58]
  40. Dierks Bentley - 5-1-5-0                                [03:02]
  Pusha T & Kanye West - New God Flow                     [04:54]
  2 Chainz - Birthday Song (feat. Kanye West)             [05:09]
  Nicki Minaj - Pound The Alarm                           [03:25]
  Miranda Lambert - Fastest Girl in Town                  [03:20]
  Rascal Flatts - Come Wake Me Up                         [04:23] 
  Chris Young - Neon                                      [03:45]



