
Label		Hillsongs Australia
Orig Year	2010
Discs		1
Release Date	May 18, 2010
Studio/Live	Live
Mono/Stereo	Stereo
Recording Time	77 minutes

1. Salvation Is Here (Live)	3:20	
2. My Redeemer Lives (Live)	3:56	
3. For All You've Done (Live)	4:23
4. From The Inside Out (Live)	4:20
5. Worthy Is The Lamb (Live)	6:00
6. Made Me Glad (Live)	 	4:57
7. The Stand (Live)	 	4:53
8. I Give You My Heart (Live)	5:16
9. Take It All (Live)	 	3:34
10. Everyday (Live)	 	4:03
11. At The Cross (Live)	 	4:06
12. Hallelujah (Live)	 	5:55
13. The Potter's Hand (Live)	4:14
14. Came To My Rescue (Live)	4:27
15. One Way (Live)	 	3:53
16. For Who You Are (Live)	4:12
17. Mighty To Save (Live)	5:10
