CD 1:
1-1	Res Novae
1-2	Memento
1-3	Salva me
1-4	Staub (reconstructed by DYM)
1-5	I Am Not There (Ashbury Heights Reconstructing Psycho2VII)
1-6	Farewell (Redux)
1-7	The Few (Redux)
1-8	Rei Toei (Redux)
1-9	Neural Dysorder (Redux)
1-10	Virus (Redux)
1-11	Psycho2VII (Redux)
1-12	Let me dream (Redux)

CD 2 (original versions):
2-1	Virus
2-2	The Few
2-3	Neural Dysorder
2-4	Psycho2VII
2-5	Rei Toei
2-6	Mirror, Mirror
2-7	The Eve Of Lamentation
2-8	Farewell
2-9	...Staub
2-10	Let Me Dream
2-11	The Few (Part II)
2-12	Psycho2VII (11th floor mix)
