CD 1: Grosse Freiheit
1-1	Das Meer
1-2	Seenot
1-3	Für Immer
1-4	Geboren Um Zu Leben
1-5	Abwärts
1-6	Halt Mich
1-7	Unter Feuer
1-8	Grosse Freiheit
1-9	Ich Gehöre Mir
1-10	Heimatstern
1-11	Sternbild
1-12	Unter Deiner Flagge
1-13	Fernweh
1-14	Schenk Mir Ein Wunder
1-15	Auf Kurs
1-16	Neuland

CD 2: Frühe Werke & Rohe Entwürfe
2-1	Human Nations (Erste Musikalische Schritte Von 1992)
2-2	The Beast (Erste Musikalische Schritte Von 1992)
2-3	Lost Heaven (Unveröffentlicht)
2-4	Faded Times (Unveröffentlicht)
2-5	Seenot (Produktionsdemo Graf)
2-6	Für Immer (Produktionsdemo Graf)
2-7	Unter Deiner Flagge (Produktionsdemo Graf)
2-8	Geboren Um Zu Leben (Erstes Produktionsdemo Graf)
2-9	Geboren Um Zu Leben (Zweites Produktionsdemo Graf)
