CD 1:
1-1	Indigo - Prologue
1-2	The Obsessive Devotion
1-3	Menace Of Vanity
1-4	Chasing The Dragon
1-5	Never Enough
1-6	La'petach Chatat Rovetz "The Last Embrace"
1-7	Death Of A Dream "The Embrace That Smothers - Part VII"
1-8	Living A Lie "The Embrace That Smothers - Part VIII"
1-9	Fools Of Damnation "The Embrace That Smothers - Part IX"
1-10	Beyond Belief
1-11	Safeguard To Paradise
1-12	Sancta Terra
1-13	The Divine Conspiracy

CD 2:
2-1	Higher High
2-2	Replica (Fear Factory Cover)
