User Type,Username,Date,Text
,sycomiko,2012-02-08T00:19Z,Again Thanks so much!
,nightprowler.,2012-02-08T00:41Z,Looks awesome.  Thanks.
,MediaLight,2012-02-08T11:31Z,Thank you very much again!
,Nomi001,2012-02-08T12:44Z,Excellent. Many thanks.
,emtoec,2012-02-08T15:22Z,Thanks.  
,shallow2,2012-02-08T22:08Z,"So, are you satisfied, or do you want 12 gb more ? :)"
,sycomiko,2012-02-09T01:32Z,"definately more, there were 5 or 6 ng articles i really wanted that were not here (not that I am complaining in the least!) and one or two HoG"
[V],merzedes,2012-02-10T17:50Z,Thanks for keeping this alive seed atleast 1 too1 before you jump off  ^v^  cheers
,futureshock999,2012-02-11T01:09Z,"Thank you merzedez, thank you merzedes, thank you merzedes..."
,shallow2,2012-02-11T01:48Z,"Had some trouble uploading last torrent I made, will try again.

@sycomiko: which ones are you looking for ? I can see if I can put them in next HOG pack.."
,sycomiko,2012-02-11T03:42Z,"Thanks Shallow 

Love these

From NG - Pony Treadmill Trainer Upgrade (1/27/12), The Cart and the Crook-Lock system (9/16/11), Folded Butt Walker Training (12/9/11), Callisto Naked and Whipped into action (10/21/11), Strapped - Stripped, Driven, Parked and Fucked (8/19/11), Another Naked Pussy Walker (5/6/11), Doorbell Fucking Machine (7/16/11)

HoG - The Box Dilemma (12/2/11)"
,shallow2,2012-02-12T01:32Z,"@sycomiko

I know that the following are in next pack:

-Doorbell
-Callist whipped into training
-Box dilemma
-another naked..

+++++ stay tuned :)"
,kees84,2012-03-23T13:35Z,THX!!!
,nik2512,2012-06-06T10:27Z,Please Seed.........
