Black Symphony
1-1	Ouverture
1-2	Jillian (I'd Give My Heart)
1-3	The Howling
1-4	Stand My Ground
1-5	The Cross
1-6	What Have You Done
1-7	Hand Of Sorrow
1-8	The Heart Of Everything
1-9	Forgiven
1-10	Somewhere
1-11	The Swan Song
1-12	Memories
1-13	Our Solemn Hour
1-14	The Other Half (Of Me)
1-15	Frozen
1-16	The Promise
1-17	Angels
1-18	Mother Earth
1-19	The Truth Beneath The Rose
1-20	Deceiver Of Fools
1-21	All I Need
1-22	Ice Queen


Bonus Concert
2-1	Intro
2-2	Jillian (I'd Give My Heart)
2-3	The Howling
2-4	The Cross
2-5	Hand Of Sorrow
2-6	The Heart Of Everything
2-7	Restless
2-8	Our Solemn Hour
2-9	Mother Earth
2-10	Jane Doe
2-11	The Truth Beneath The Rose
2-12	All I Need

Music Videos
2-13	What Have You Done
2-14	Frozen
2-15	The Howling
2-16	All I Need
