Artist : VA
Title  : Italo Vs Hands Up vol 10 (Extended Versions)
Label  : Planeta Mix Spain
Genre  : Dance
Encoder: LAME 3.98.4
Quality: 320kbps / 4410kHz / Full Stereo
Tracks : 14
Size   : 192.24MB


Track  Title                                           			       Time
 
01.    Alex Teddy & Dance Rocker Feat Hoxygen - This Is Love (Love Mix 2012)   5:46
02.    Andrea Decibel - F.L.Y (Extended Mix)         			       6:13
03.    DJ Hyo - I Wanna (DJ Hyo Vs. Discoduck Extended Mix)  		       4:42
04.    Carmixer & Francy M - Senza Te (Dagma Remix)      		       6:29
05.    Dance Rocker - Play It Again (Extended Mix)        		       6:13
06.    Domyp Feat. Sheby - My Dream (DJ-V Remix)            		       5:44
07.    Miani Feat. Penelope - Non Succedera Piu (DJ Rimini Remix)              4:04
08.    Dreamer Vs. DJ Raffy Feat. Elix England - Tutta La Notte (Extended Mix) 5:48
09.    DJ Hyo - Bye Bye Mi Amor (Extended Mix)           		       5:34
10.    Alex Teddy & Dance Rocker - Musica Maranza             		       5:23
11.    Hoxygen Feat. Krystal Em - Bounce (The Arcane Charmers Remix)           5:23
12.    Technoposse - Letter (Extended Mix)                		       4:42
13.    Dj Hyo - Special One (Technoposse Extended Mix)       		       5:05
14.    Hessencia - Cosmo (The Arcane Charmers Remix)      		       6:28
