1-1.1	Intro
1-1.2	Stronger Than Me	 
1-2.1	You Sent Me Flying
1-2.2	Cherry
1-3	Know You Now
1-4	Fuck Me Pumps
1-5	I Heard Love Is Blind
1-6.1	Moody's Mood For Love
1-6.2	Teo Licks
1-7	(There Is) No Greater Love
1-8	In My Bed
1-9	Take The Box
1-10	October Song
1-11	What Is It About Men
1-12.1	Amy Amy Amy
1-12.2	Outro
1-12.3	Brother	 
1-12.4	Mr. Magic (Through The Smoke)
	 
Bonus Disc
2-1	Take The Box (Original Demo)
2-2	I Heard Love Is Blind (Original Demo)
2-3	Someone To Watch Over Me (Original Demo)
2-4	What Is It (Original Demo)
2-5	Teach Me Tonight (Hootenanny)
2-6	'Round Midnight
2-7	Fool's Gold
2-8	Stronger Than Me (Later With Jools Holland)
2-9	I Heard Love Is Blind (Live At The Concorde, Brighton)
2-10	Take The Box (Live At The Concorde, Brighton)
2-11	In My Bed (Live At The Concorde, Brighton)
2-12	Mr. Magic (Through The Smoke) (Janice Long Session)
2-13	(There Is) No Greater Love (Janice Long Session)
2-14	Fuck Me Pumps (MJ Cole Mix)
2-15	Take The Box (Seijis Buggin' Mix)
2-16	Stronger Than Me (Harmonic 33 Mix)
2-17	In My Bed (CJ Mix)
