User Type,Username,Date,Text
,sc1211,2012-11-28T00:57Z,good 720p quality
,sc1211,2012-11-28T07:20Z,"Sorry! this one is season 1

season 2 is the other torrent."
,sc1211,2012-11-28T07:29Z,"never mind, this is season 2, I'll upload season 1 with correct title.
Culture Japan Season 2 Episode 1 - Rebuilding Japan after the 3.11.flv	397.53 MiB
Culture Japan Season 2 Episode 10 - Asia's Biggest Anime Event - AFA Part 1.flv	397.65 MiB
Culture Japan Season 2 Episode 11 - Asia's Biggest Anime Event - AFA Part 2.flv	396.75 MiB
Culture Japan Season 2 Episode 12 - Discovering Asakusa.flv	398.4 MiB
Culture Japan Season 2 Episode 13 - The Making of Culture Japan.flv	396.45 MiB
Culture Japan Season 2 Episode 2 - Wonderfestival with Good Smile Company.flv	397.88 MiB
Culture Japan Season 2 Episode 3 - Japanese Festivals.flv	399.32 MiB
Culture Japan Season 2 Episode 4 - Worldwide Anime Events.flv	399.1 MiB
Culture Japan Season 2 Episode 5 - Discover Otaroad with Suzuko Mimori - Part 1.flv	398.31 MiB
Culture Japan Season 2 Episode 6 - Discover Otaroad with Suzuko Mimori - Part 2.flv	398.2 MiB
Culture Japan Season 2 Episode 7 - The Return to Edo Wonderland with Elly Otoguro.flv	398.91 MiB
Culture Japan Season 2 Episode 8 - Discovering Edo Wonderland with Elly Otoguro.flv	397.84 MiB
Culture Japan Season 2 Episode 9 - How Anime is Made at JC Staff.flv	398.15 MiB"
