Filename,Size,Unit
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/01 Your Mother's Son-In-Law.flac",7.32,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/02 Wished on the Moon.flac",7.62,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/03 What a Little Moonlight Can Do.flac",7.51,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/04 Miss Brown to You.flac",7.27,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/05 Saddest Tale.flac",5.61,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/06  If You Were Mine.flac",5.05,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/07 These 'N' That 'N' Those.flac",5.18,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/08  You Let Me Down.flac",5,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/09 Life Begins When You're in Love.flac",5.9,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/10 It's Like Reaching for the Moon.flac",6.68,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/11 These Foolish Things.flac",7.13,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/12 Summertime.flac",6.77,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/13 Billie's Blues.flac",6.14,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/14 A Fine Romance.flac",7.65,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/15 I Can't Pretend.flac",6.86,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/16 One, Two, Button Your Shoe.flac",8.66,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/17 Let's Call a Heart a Heart.flac",8.54,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/18 Easy to Love.flac",6.7,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/19 Pennies from Heaven.flac",7.39,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/20 That's Life I Guess.flac",8.3,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/21 I Can't Give You Anything But Love.flac",7.22,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/22 One Never Knows, Does OneÂ¿.flac",6.5,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/23 I've Got My Love to Keep Me Warm.flac",6.14,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 1/24 He Ain't Got Rhythm.flac",9.62,M
"Billie Holiday; The Legacy Box 1933-1958, Disc 2/01 This Year's Kisses.flac",7.42,M
