User Type,Username,Date,Text
,chenoa,2012-06-11T13:14Z,Thx a lot... :)
,daba_1,2012-06-11T19:21Z,"Tim Armstrong	 Composer, Guitar, Producer
Gannin Arnold	Composer
Irving Azoff	Management
Ryan Corey	 Package Design, Photography
David Crosby	Vocals
Richard Davis	Programming, Synthesizer
Jim Fox	 Composer, Drums, Vocals (Background)
Jim Gable	Director
Dan Gerbarg	Mastering
Ken Hamann	Engineer
Jeri Heiden	Art Direction
Drew Hester	Composer
Tommy Lee James	Composer, Liner Notes, Vocals (Background)
Steve Jay	 Engineer, Percussion
Ann Kim	Producer
Chris Kraft	Producer
Greg Leisz	Pedal Steel Guitar
Little Richard	 Piano, Vocals
Jeff Lynne	 Arranger, Bass, Drums, Guitar, Keyboards, Mixing, Producer, Vocals (Background)
Andrew MacPherson	Photography
Jay Dee Maness	Pedal Steel Guitar
John Morrical	Engineer
Graham Nash	Vocals
Kenny Passarelli	Bass
Richard Penniman	Composer
Dale Peters	 Bass, Composer
Rick Rosas	Bass
Ringo Starr	Drums
Bruce Sugar	 Engineer, Mixing, Organ, Percussion Programming, Programming
Joe Vitale	Keyboards, Sitar
Joe Walsh	Bass, Composer, Drums, Guitar, Liner Notes, Piano, Primary Artist, Producer, String Arrangements, Synthesizer, Vocals, Vocals (Background)
Howie Weinberg	Mastering
David Wild	Liner Notes"
