Año 	Disco
1989 	Dulce Navidad
1990 	El cielo puede esperar
1991 	Rabioso! La pesadilla recién comienza (en vivo)
1992 	Ángeles caídos
1993 	Todo está al revés
1994 	89-92 (compilado de demos + inéditos + en vivo)
1995 	Amen!
1997 	Un día perfecto (U.D.P)
1998 	Otras canciones
2000 	Radio Insomnio
2001 	Caña (compilado editado sólo en Europa)
2001 	Trapos (en vivo)
2002 	Amateur (compilado de rarezas + versiones en vivo)
2003 	Antihumano
2005 	Obras cumbres (compilado CD doble)
2006 	Pirotecnia autorizada (EP)
2007 	Karmagedon3
2009 	Estallar
