TÍTULO ORIGINAL 	Shelter
OTROS TÍTULOS 	Refugio
DIRECCIÓN 	Måns Mårlind, Björn Stein
REPARTO 	Julianne Moore, Jeffrey DeMunn, Jonathan Rhys Meyers, Frances Conroy, Brooklynn Proulx, Nathan Corddry
AÑO 	2010
PAÍS 	Estados Unidos
PRODUCTORA 	NALA Films, Macari/Edelstein, Shelter Productions
GÉNERO 	Terror
SINÓPSIS 	

Un psiquiatra forense descubre que todas las mujeres de una de las personalidades múltiples de su paciente son víctimas de asesinato. Ella tendrá que averiguar qué está pasando antes de su tiempo ha terminado.
