     Track |   Start  |  Length  |            Title 
    ------------------------------------------------------------
        1  |  0:00.00 |  4:17.07 |  01 Ascent
        2  |  4:17.07 |  1:48.16 |  02 Ash
        3  |  6:05.23 |  2:20.72 |  03 Caverns
        4  |  8:26.20 |  2:16.49 |  04 Glacial
        5  | 10:42.69 |  2:26.64 |  05 Crater Lake
        6  | 13:09.58 |  2:33.08 |  06 Dam Interior
        7  | 15:42.66 |  3:06.37 |  07 Dam Top
        8  | 18:49.28 |  3:02.47 |  08 Fyrestone
        9  | 21:52.00 |  3:23.31 |  09 Hyperion
       10  | 25:15.31 |  3:28.55 |  10 Ice
       11  | 28:44.11 |  2:00.04 |  11 Interlude Combat
       12  | 30:44.15 |  2:37.45 |  12 Interlude Ambient
       13  | 33:21.60 |  3:57.57 |  13 Lynchwood
       14  | 37:19.42 |  3:52.32 |  14 Lynchwood Sheriff Combat
       15  | 41:11.74 |  3:42.34 |  15 Main Menu
       16  | 44:54.33 |  3:37.42 |  16 Jack Final Boss
       17  | 48:32.00 |  2:09.74 |  17 Pandora Park
       18  | 50:41.74 |  3:10.66 |  18 Sanctuary
       19  | 53:52.65 |  3:55.08 |  19 Bandit Slaughter
       20  | 57:47.73 |  2:38.59 |  20 The Fridge
       21  | 60:26.57 |  4:06.26 |  21 Tundra Express
       22  | 64:33.08 |  3:10.37 |  22 Warrior Boss
       23  | 67:43.45 |  3:29.50 |  23 Vog Fight
