WeFoundItForYou.com

   1. Logic - One                                             [02:47]
   2. Logic - Shine On                                        [02:44]
   3. Logic - 30,000                                          [03:05]
   4. Logic - All I Do                                        [03:48]
   5. Logic - Sell Out Records (Skit)                         [01:46]
   6. Logic - Beggin' (Feat. C Dot Castro)                    [03:10]
   7. Logic - Mind Of Logic (Feat. Camille Michelle Gray)     [04:28]
   8. Logic - Champagne Thoughts (Interlude)                  [01:27]
   9. Logic - Are You Ready (Feat. Phil Ade)                  [03:13]
  10. Logic - Highs & Lows                                    [03:14]
  11. Logic - Addiction                                       [04:05]
  12. Logic - Stewie Griffin                                  [02:52]
  13. Logic - Live On The Air                                 [02:42]
  14. Logic - Young Sinatra II                                [03:06]
  15. Logic - Juice                                           [02:24]
  16. Logic - Prime                                           [03:12]
  17. Logic - Take It Slow (Feat. Raheem Devaughn)            [03:25]
  18. Logic - Let Me Go (Feat. Lykke Li)                      [03:54]
  19. Logic - Mixed Feelings                                  [02:01]
  20. Logic - Growing Pains II                                [04:48]
  21. Logic - As I Am                                         [04:35]
  22. Logic - Just Another Day (In My Mind)                   [04:01]

 
