No. 	Title 	Lyrics 	Music 	Arrangement 	Length
1. 	"One & One"   	Shinsadong Tiger, Choi Gyu Sung 	Shinsadong Tiger, Choi Gyu Sung 	Shinsadong Tiger 	02:36
2. 	"Cheoeum Cheoreom" (ì²˜ìŒì²˜ëŸ¼, "Like the First Time") 	"hitman" bang 	"hitman" bang 	Wonderkid 	04:04
3. 	"Bo Peep Bo Peep"   	Shinsadong Tiger, Choi Gyu Sung 	Shinsadong Tiger, Choi Gyu Sung 	Shinsadong Tiger, Choi Gyu Sung 	03:45
4. 	"Tic Tic Toc"   	Ahn Young Min 	Ahn Young Min 	Davina 	03:19
5. 	"Bye Bye"   	Nam Ki Sang, Kang Jung Myung 	Nam Ki Sang 	Nam Ki Sang 	03:34
6. 	"Apple is A"   	Ahn Young Min 	Cho Young Soo 	Cho Young Soo 	03:10
7. 	"Falling U"   	Han Sang Won 	Han Sang Won 	Yoon Young Min 	03:29
8. 	"Neoneoneo" (ë„ˆë„ˆë„ˆ, "You You You") 	Kim Do Hoon, Kim Ki Bum, Rhymer 	Kim Do Hoon, Kim Ki Bum 	Kim Do Hoon 	03:40
9. 	"Geojitmal" (Dance Ver.) (ê±°ì§“ë§, "Lies") 	Ahn Young Min 	Cho Young Soo 	Cho Young Soo 	03:46
10. 	"T.T.L (Time To Love)" (featuring Choshinsung) 	Hwang Sung Jin, Rhymer, Joosuc 	Kim Do Hoon 	Lee Sang Ho 	03:38
11. 	"Geojitmal" (Slow Ver.) 	Ahn Young Min 	Cho Young Soo 	Cho Young Soo 	03:58
12. 	"T.T.L Listen.2" (featuring Choshinsung) 	Rhymer, Sangchu 	Kim Do Hoon, Rhymer 	Kim Ki Wan 	03:32
13. 	"Joheun Saram" (ì¢‹ì€ ì‚¬ëžŒ, "Good Person") 	K-SMITH 	Han Sung Ho 	Kim Jae Yang 	03:32
14. 	"Norabollae?" (ë†€ì•„ë³¼ëž˜?, "Wanna Play?") 	Ahn Young Min 	Cho Young Soo, Kim Tae Hyun 	Cho Young Soo, Kim Tae Hyun 	02:53
