TÍTULO ORIGINAL	Chispita y sus gorilas
AÑO	 1982
DURACIÓN	Sugerir trailer/vídeo 80 min.
PAÍS	
DIRECTOR	Luis María Delgado
GUIÓN	Lázaro Irazábal, Luis Murillo
MÚSICA	Varios
FOTOGRAFÍA	Raúl Pérez Cubero
REPARTO	Macarena Camacho, Miguel Ángel Valero, Miguel Joven, Eva León, Julián Navarro, Javier De Campos, Alfonso Godá, Maruja Recio, José Morales, Emilio Fornet, Ana Palmieri, Rafaela Aparicio, Luis Barboo, Emilio Fornell
PRODUCTORA	Lince Films
GÉNERO	Infantil. Comedia. Musical
SINOPSIS	Chispita es una niña que pierde a su madre en un accidente. Poco después se entera de que en realidad es adoptada, y como su padre adoptivo y su nueva madrastra no la tratan bien, decide fugarse para buscar a su verdadera madre biológica. (FILMAFFINITY)
