Filename,Size,Unit
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/12 - Miserere Ã", neuf voix.flac,57.44,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/01 - Miserere Ã"," neuf voix, version avec ornamentations baroques.flac",52.96,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/06 - Messe Vidi Turbam Magnam, Ã", six voix - Credo.flac,29.36,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/07 - Messe Vidi Turbam Magnam, Ã", six voix - Sanctus.flac,14.84,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/04 - Messe Vidi Turbam Magnam, Ã", six voix - Gloria.flac,14.68,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/11 - Cantate domino, motet Ã", quatre voix et continuo.flac,13.34,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/08 - Messe Vidi Turbam Magnam, Ã", six voix - Agnus dei.flac,12.11,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/03 - Messe Vidi Turbam Magnam, Ã", six voix - Kyrie.flac,11.94,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/02 - Messe Vidi Turbam Magnam, Ã", six voix - IntroÃ¯t - statuit ei dominum.flac,9.86,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/05 - Messe Vidi Turbam Magnam, Ã", six voix - Graduel - exaltent eum.flac,9.63,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/09 - De ore prudentis, motet Ã", trois voix et continuo.flac,7.99,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/10 - Repleti sunt omnes, motet Ã", trois voix et continuo.flac,7.4,M
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/front.jpg",22.28,K
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/folder.jpg",13.4,K
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/Allegri, Gregorio - Miserere mei, Messe, Motets - A Sei Voci.log",6.4,K
"[1994] - Miserere mei, Messe, Motets - A Sei Voci/Miserere mei, Messe, Motets - A Sei Voci.cue",3.58,K
