
Title	Length	Performer

1. Ballad of Davy Crockett	1:40	Fess Parker

2. Don't Take Your Guns to Town	3:02	Johnny Cash [1]

3. Big Iron	                3:57	Marty Robbins

4. The Ballad of Paladin	1:51	Johnny Western

5. El Paso	                4:20	Marty Robbins

6. Cross the Brazos at Waco	2:50	Billy Walker [Vocals]

7. Long Black Veil       	3:02	Lefty Frizzell

8. Life to Go	                2:29	Stonewall Jackson

9. Big Bad John	                3:01	Jimmy Dean

10. Tennessee Flat Top Box	2:59	Johnny Cash [1]

11. Wolverton Mountain        	2:58	Claude King

12. Saginaw, Michigan    	3:02	Lefty Frizzell

13. North to Alaska	        2:47	Johnny Horton

14. Twenty Miles From Shore	1:57	Hawkshaw Hawkins

15. The Battle of New Orleans	2:30	Johnny Horton

16. Soldier's Joy	        2:21	Hawkshaw Hawkins

17. Waterloo	                2:28	Stonewall Jackson

18. The Ballad of Jed Clampett	2:02	Earl Scruggs, Flatt & Scruggs, Foggy 
Mountain Boys, Lester Flatt

19. May the Bird of Paradise Fly up Your Nose	2:27	Little Jimmy Dickens

20. Flowers on the Wall 	2:19	Statler Brothers

21. If You Can't Bite, Don't Growl	2:00	Tommy Collins [1]

22. A Boy Named Sue [Live]	3:45	Johnny Cash [1]

23. The Devil Went Down to Georgia	3:36	Charlie Band Daniels

24. Pancho and Lefty     	4:46	Merle Haggard, Willie Nelson

25. Highwayman          	3:00	Johnny Cash [1], Kris Kristofferson, 
Waylon Jennings, Willie Nelson 
