Rhythm Of Soul 1
1-1	Don't Stop The Music
1-2	Lovemachine
1-3	It Ain't Easy
1-4	Electricity
1-5	Fly With Me
1-6	Bodyheat
1-7	Never Gonna Give
1-8	Kick The Nation
1-9	Gotta Be Funky

Rhythm Of Soul 2
2-1	Take Me Somewhere
2-2	Don't Stop The Funk
2-3	Cuckoo Nation
2-4	Final Song
2-5	We've Got The Rhythm
2-6	Just A Little Bit More
2-7	I Want You
2-8	Take Me Higher
2-9	Alassio
2-10	Mr. B

Reggaesize It 1
3-1	Camillo
3-2	Don't Let Me Down
3-3	Warriors
3-4	Reggaesizer
3-5	So I
3-6	Dreadlock Generation
3-7	Dig This *****
3-8	Shine On Me
3-9	Smoke Is Up

Reggaesize It 2
4-1	One & All
4-2	U The One
4-3	Good Times
4-4	Heaven Of Music
4-5	Dubbrass
4-6	Reggae Fever
4-7	Superdub
4-8	Max 96

Save The World
5-1	Living In A World
5-2	Vision
5-3	World Of Today
5-4	Save The World
5-5	20 Million Years Away
5-6	Scream Of A Butterfly
5-7	Immigrations
5-8	People From The Other Side
5-9	We Are The People
5-10	Hara Hara
5-11	World Of Today 2001

Spirits Of Africa
6-1	Going Back Home
6-2	African Blood
6-3	Bango Bongo
6-4	Salongo
6-5	Jungle Dance
6-6	Purple People
6-7	Voodoo-Dance
6-8	Watch Out South Africa
6-9	Red Dust
6-10	Oi Dibango
6-11	Jungle People
6-12	Somewhere In Africa

Cool Love
7-1	Voodoo Asses
7-2	Tears
7-3	Miss You
7-4	And Time Will Come
7-5	Loversnight
7-6	Love Is Deeper
7-7	Something In My Heart
7-8	I Need You
7-9	Wonderchild
7-10	It's A Long Way To Reach Heaven
7-11	Whatever It Takes
7-12	Friends
7-13	Just Before The Nightmare
7-14	Amor Profundo

Radical Phonetic
8-1	Push Me Up
8-2	Interplanetary
8-3	Welcome To My Heart
8-4	Madness Comes To Overload
8-5	Scientist
8-6	Tha Beat
8-7	Members Only
8-8	The Gule
8-9	Crystal Clear
8-10	Planet
8-11	Night In Sofia
8-12	Christalno Yasno
8-13	5 Past 4
8-14	Take Me To The Max

Special Remixes
9-1	Electricity (Sequmix)
9-2	Bango Bongo (Brass Mix)
9-3	I Want You (Club Version)
9-4	Heaven Of Music (FFT Mix)
9-5	Watch Out South Africa (Soweto Mix)
9-6	Lovemachine (Amerikan Beauty Cover Version)
9-7	It Ain't Easy (Club Mix)
9-8	World Of Today (Techno Mix)
9-9	Don't Stop The Music (Club Mix 2000)
9-10	African Blood (Club Mix)
9-11	Warriors (El Club Differente Mix)

Best Of Remixes
10-1	Camillo (Remaxed By Stefan Obermaier)
10-2	World Of Today (Honolulu-Spooky-Mix)
10-3	It Ain't Easy (Remaxed By Moonbootica)
10-4	Vision (Remaxed By Spindoc)
10-5	African Blood (Remaxed By
10-6	Elictricity (Remaxed By Supersultan & Mikeburns)
10-7	World Of Today (Remaxed By Supermax)
10-8	World Of Today (Remaxed By Supermax & Taliesin)
10-9	Lovemachine (Golden Flash Remix)
10-10	Lovemachine (Dub Edit - Remaxed By Supermax)
10-11	Lovemachine (Sophat! Vs. Mousse T. Club Edit)
10-12	Lovemachine (Goldfingers NRG Edit)
