NO	TITLE                                 		ARTIST

01.	The Wave (Thomas Gold Mix)            		Miike Snow
02.	Turn Around (Original Mix)            		Phats & Small Vs the Cube Guys
03.	Our Love (Club Mix)                   		Stereo Palma Feat. Craig David
04.	Dazzled (The Cube Guys Remix)         		Analog People in A Digital World
05.	Spectrum (Say My Name) (Calvin Harris Remix)	Florence and the Machine
06.	Say No! 2012 (Federico Scavo Remix)		Squat 84
07.	Let it Go (Laidback Luke Remix)       		Dragonette
08.	Such A Good Feeling (Crazibiza Remix)  		Sean Finn
09.	Disperato Erotico Stomp (Daniele Tignino Remix)	Lucio Dalla Vs Daniele Tignino
10.	Critical (Original)                   		Phunk Investigation & Schuhmac
11.	Voilà Voilà (The Cube Guys Original Mix)	The Cube Guys
12.	Soul Heaven (Original Mix)            		Chris Melin
