CD 1
1-1	Pushed Again
1-2	Bonnie & Clyde
1-3	Schön Sein
1-4	Frauen Dieser Welt
1-5	Paradies
1-6	Nichts Bleibt Für Die Ewigkeit
1-7	Was Zählt
1-8	Unsterblich
1-9	Irre
1-10	Steh Auf, Wenn Du Am Boden Liegst
1-11	Warum Werde Ich Nicht Satt
1-12	Madelaine (Aus Lüdenscheid)
1-13	Weihnachtsmann Vom Dach
1-14	Zur Hölle Und Zurück
1-15	Nur Zu Besuch
1-16	Niemals Einer Meinung
1-17	Bayern
1-18	Auld Lang Syne
1-19	Zehn Kleine Jägermeister
1-20	Schönen Gruss, Auf Wiedersehen

CD 2
2-1	Entenhausen Bleibt Stabil
2-2	Hang On Sloopy
2-3	Vor Dem Sturm
2-4	Wahre Liebe
2-5	Abitur
2-6	Die "7" Ist Für Mich Alles
2-7	Tout Pour Sauver L'Amour
2-8	Rest Der Welt
2-9	Police On My Back
2-10	Kleiner Junge
2-11	In Gottes Namen
2-12	Alkohol
2-13	Long Way From Liverpool
2-14	Ein Witz
2-15	Babylon's Burning
2-16	Alles Ist Eins
2-17	Geh Aus Dem Weg
2-18	100 Tage Bis Zum Untergang
2-19	Walter November - Ein Interview
2-20	You'll Never Walk Alone
