Feature Disc
1-1	Ite, Missa Est
1-2	I Walk Alone
1-3	Lost Northern Star
1-4	Seeking For The Reign
1-5	The Reign
1-6	The Escape Of The Doll
1-7	My Little Phoenix
1-8	Boy And The Ghost
1-9	Sing For Me
1-10	Oasis
1-11	Poison
1-12	Our Great Divide
1-13	Sunset
1-14	Damned And Divine
1-15	Die Alive
1-16	The Seer (Deleted Scene)
1-17	Minor Heaven
1-18	Ciarán's Well
1-19	Calling Grace

Bonus Disc
2-1	Enough
2-2	The Seer
2-3	Lost Northern Star (Tägtgren Remix)
2-4	Wisdom Of Wind
2-5	The Reign (Scoremix)
2-6	Die Alive (Alternative Version)
2-7	Boy And The Ghost (Izumix)
2-8	Calling Grace (Full Version)
2-9	Lost Northern Star (Ambience Sublow Mix)

Live In Kuusankoski
2-10	Damned And Divine
2-11	You Would Have Loved This
2-12	Our Great Divide
2-13	Ciarán's Well
