Nederlandse Top 40 - Jaarlijst 2012

Het is weer de hoogste tijd, voor de jaarlijkse update.

MINDER diversiteit in de Top 40 van 2012; waar vorig jaar de lijst 245 noteringen
telde, zijn dat er dit jaar "slechts" 226. Dit komt omdat platen alsmaar langer in 
de Top 40 staan, en de mensen het allemaal prima lijken te vinden. 20 weken of 
langer is geen uitzondering. 

De credits gaan naardit jaar, de releasers op usenet en TPB, 
en de vaste downloaders.

----------------------------------------+---------------------------------------
POS: Positie                            |  Download, seed en enjoy!
PNT: aantal punten vanwege noteringen   |  Released door: Frikandel 
HPS: Hoogste Positie in de Top 40       |  > thepiratebay.org/user/frikandel
WKN: Aantal weken in de Top 40          |  > Volg me ook op Twitter! @frikandel_tpb
--------------------------------------------------------------------------------

POS	PNT	HPS	WKN	 
1	908	2	29	Call me maybe - Carly Rae Jepsen
2	879	1	28	Ai se eu te pego! - Michel Teló
3	837	2	26	I follow rivers (The Magican Remix) - Lykke Li
4	803	2	26	Euphoria - Loreen
5	779	1	23	Balada - Gusttavo Lima
6	753	1	28	I follow rivers - Triggerfinger
7	724	1	23	This is love - Will.I.Am featuring Eva Simons
8	722	2	22	Epic - Sandro Silva & Quintino
9	652	2	23	Bagagedrager - Gers Pardoel featuring Sef
10	644	3	24	I won't give up - Jason Mraz
11	600	7	20	Beauty & de brains - Nielson
12	598	1	19	One day - Reckoning song - Asaf Avidan & the Mojos
13	588	1	17	Gangnam style - PSY
14	578	4	22	Drive by - Train
15	577	2	20	Feel the love - Rudimental featuring John Newman
16	575	5	21	People help the people - Birdy
17	559	3	23	Next to me - Emeli Sandé
18	545	8	26	Can't stop me - Afrojack featuring Shermanology
19	530	3	21	Ik neem je mee - Gers Pardoel
20	528	3	18	Whistle - Flo Rida
21	517	4	20	Starships - Nicki Minaj
22	515	3	16	More - Sandra van Nieuwland
23	501	5	23	We are young - Fun. featuring Janelle Monáe
24	495	5	19	The A Team - Ed Sheeran
25	485	5	14	Girl on fire - Alicia Keys
26	479	7	21	Wild ones - Flo Rida featuring Sia
27	478	7	20	Good time - Owl City & Carly Rae Jepsen
28	473	9	17	Lion in the morning sun - Will and the People
29	452	11	18	She wolf (Falling to pieces) - David Guetta 30	445	5	16	Million voices - Otto Knows
31	441	1	15	Ode to the bouncer - Studio Killers
32	433	3	13	Candy - Robbie Williams
33	433	12	22	Keep your head up - Ben Howard
34	432	4	17	Somebody that I used to know - Gotye ft. Kimbra
35	422	3	12	Diamonds - Rihanna
36	420	1	16	Slapeloze nachten - the Opposites
37	418	9	19	Some nights - Fun.
38	415	1	11	Skyfall - Adele
39	415	8	18	Skinny love - Birdy
40	407	8	17	Payphone - Maroon5 featuring Wiz Khalifa
