NO	TITLE                                 ARTIST

01.	Venom (Original Mix)                  Nechura
02.	Sugarcube [Bassnectar RMX]            RUN DMT
03.	Goin' In (Jacob Plant Remix)          Jennifer Lopez feat. Flo Rida
04.	Connection (Original Mix)             Dephas8
05.	I Know The Truth (Original Mix)       Pretty Lights
06.	Need Your Heart Ft Kai                Adventure Club
07.	We Are Going Down                     ManyMore feat. Celeste Bucking
08.	The Formed (Original Mix)             Bratkilla
09.	Sun Goes Down (Original Mix)          Dubba Jonny
10.	It's My Turn (Original Mix)           Metrik
11.	When You                              Aeph
12.	Voltage (Original Mix)                LeKtriQue
13.	Wubbstab (Original Mix)               Megaman
14.	Get Out My Head (Joker Remix)         Redlight
15.	Voltage                               Skrillex
16.	Ampere (Dabin Remix)                  LeKtriQue
