CD 1
1-1	Survive
1-2	I Won't Tell You
1-3	Not Enough
1-4	I'm Not Afraid
1-5	I Like It
1-6	Underdog
1-7	The Pain
1-8	Spellbound
1-9	Wide Awake
1-10	The Maze
1-11	Unchained
1-12	Shallow Life

CD 2
2-1	The Last Goodbye
2-2	Leaving Alone (Previously Unreleased)
2-3	Oblivion
2-4	Spellbound (Recorded Live-To-Air On WBYR)
2-5	Closer (Recorded Live-To-Air On Mancow Show)
2-6	Within Me (Recorded Live-To-Air On Mancow Show)
2-7	Survive (Live At House Of Blues Hollywood For Westwood One 2009)
2-8	I'm Not Afraid (Live At House Of Blues Hollywood For Westwood One 2009)
2-9	I Won't Tell You (Live At House Of Blues Hollywood For Westwood One 2009)
2-10	Tightrope (Live In St. Petersburg FL 2006)
2-11	Fragments Of Faith (Live In St. Petersburg FL 2006)
2-12	The Game (Live In St. Petersburg FL 2006)
