CD 1
1-1	Rebellis
1-2	Morituri Te Salutant
1-3	Mente Videbor
1-4	Aegri Somnia
1-5	Orpheus
1-6	Post Tenebras Lux
1-7	Mundus Vult Decipi
1-8	Tempus Fugit
1-9	Lex Talionis
1-10	Ratio Misericordiae

CD 2
2-1	Rebellis (Xentrifuge Remix)
2-2	Morituri Te Salutant (Ave! Remix By Autoclav 1.1)
2-3	Mente Videbor (XP8 Remix)
2-4	Aegri Somnia (Ageless Remix By ESA)
2-5	Orpheus (Life Cried Remix)
2-6	Post Tenebras Lux (Endif Rmx)
2-7	Mundus Vult Decipi (Technomancer Rmx)
2-8	Tempus Fugit (Moment Of Creation Mix By Syndika Zero)
2-9	Lex Talionis (DYM's Revenge Remix)
2-10	Ratio Misericordiae (Ashbury Heights Remix)
