TÍTULO ORIGINAL 	Dead & Buried
AÑO 	1981
DURACIÓN 	92 min.
PAÍS 	[Estados Unidos]
DIRECTOR 	Gary Sherman
GUIÓN 	Dan O'Bannon, Ronald Shusett (Historia: Jeff Millar, Alex Stern)
MÚSICA 	Joe Renzetti
FOTOGRAFÍA 	Steven B. Poster
REPARTO 	James Farentino, Melody Anderson, Jack Albertson, Robert Englund, Barry Corbin, Lisa Blount
PRODUCTORA 	AVCO Embassy Pictures
GÉNERO 	Terror. Intriga. Ciencia ficción | Vida rural (Norteamérica). Película de culto

SINOPSIS 	En la pequeña y tranquila población de Potters Bluff ocurren una serie de extraños fallecimientos. Los muertos son forasteros, y todos ellos presentan señales de violencia. Dan, el comisario, investiga estos sucesos casi en solitario, ya que el forense, que podría aportar alguna pista sobre el caso, se entrega más a la tarea de reconstruir los cuerpos que a la de buscar las pruebas que el investigador necesita. De los mismos escritores que "Alien". 
