U-Vox
1-1	Same Old Story
1-2	Sweet Surrender
1-3	Dream On
1-4	The Prize
1-5	All Fall Down
1-6	Time To Kill
1-7	Moon Madness
1-8	Follow Your Heart
1-9	All In One Day

Further Listening
2-1	Same Old Story (Extended Version)
2-2	3
2-3	All In One Day (Instrumental)
2-4	All Fall Down (Extended Version)
2-5	Dreams?
2-6	All Fall Down (Instrumental)
2-7	Dream On (Recorded Live At Wembley Arena, 06 Nov 1986)
2-8	The Prize (Recorded Live At Wembley Arena, 06 Nov 1986)
2-9	All Fall Down (Recorded Live At Wembley Arena, 06 Nov 1986)
2-10	Stateless
2-11	Same Old Story (Recorded Live At Glasgow Barrowlands, 01 Nov 1986)
2-12	Sweet Surrender (Recorded Live At Glasgow Barrowlands, 01 Nov 1986)
2-13	All In One Day (Recorded Live At Glasgow Barrowlands, 01 Nov 1986)
2-14	Time To Kill (Recorded Live At Glasgow Barrowlands, 01 Nov 1986)
2-15	All In One Day (Work In Progress Mix)
