Season 6 (24 episodes)

Episode 1    Big Days
Episode 2    Cleaning House
Episode 3    Unfinished
Episode 4    Subway Wars
Episode 5    Architect of Destruction
Episode 6    Baby Talk
Episode 7    Canning Randy
Episode 8    Natural History
Episode 9    Glitter
Episode 10   Blitzgiving
Episode 11   The Mermaid Theory
Episode 12   False Positive
Episode 13   Bad News
Episode 14   Last Words
Episode 15   Oh Honey
Episode 16   Desperation Day
Episode 17   Garbage Island
Episode 18   A Change of Heart
Episode 19   Legendaddy
Episode 20   The Exploding Meatball Sub
Episode 21   Hopeless
Episode 22   The Perfect Cocktail
Episode 23   Landmarks
Episode 24   Challenge Accepted
