Season Episode 1   New Job In Town12/10/2001

Episode 2   Gladiator19/10/2001
Episode 3   The Whooping Crane26/10/2001
Episode 4   Back To Nature02/11/2001
Episode 5   Daltons Hot Gift09/11/2001
Episode 6   Viva Las Possums16/11/2001
Episode 7   Y2 Cans23/11/2001
Episode 8   The Ghost Of Possum Lodge30/11/2001
Episode 9   The Chainsaw Races07/12/2001
Episode 10   Something In The Heir14/12/2001
Episode 11   Daredevil01/01/1970
Episode 12   Mike Goes Straight01/01/1970
Episode 13   Xmas In July01/01/1970
Episode 14   The Fishing Derby01/01/1970
Episode 15   Masquerade Marathon01/01/1970
Episode 16   Harolds Dilemma01/01/1970

Season 12 
Episode 1   Go Fish18/10/2002
Episode 2   The Possum Panderosa25/10/2002
Episode 3   Possum Air01/11/2002
Episode 4   The IQ Test08/11/2002
Episode 5   The Day Of The Sunflowers15/11/2002
Episode 6   Reality Television22/12/2002
Episode 7   Possum Lodge Provincal Park29/11/2002
Episode 8   The Silver Wasp06/12/2002
Episode 9   A Lot Like Christmas01/03/2003
Episode 10   Snowed In20/12/2002
Episode 11   The Go Go Bars27/12/2002
Episode 12   The Missile Crisis03/01/2003
Episode 13   Never Send A Man10/01/2003
Episode 14   Power Struggle17/01/2003
Episode 15   Mr. Possum Lake24/01/2003
Episode 16   Red And Breakfast31/01/2003
Episode 17   The Moosetrap07/02/2003
Episode 18   Stupid Cupid14/02/2003

Season 13 
Episode 1   Red Green Does New Years31/12/2001
Episode 2   Youve Got Oil24/10/2003
Episode 3   The Drive-Thru31/10/2003
Episode 4   School Demo07/11/2003
Episode 5   Change Will Do You Good14/11/2003
Episode 6   The Earring21/11/2003
Episode 7   Mailbox Wars28/11/2003
Episode 8   The String Ball05/12/2003
Episode 9   The Spelling Bee12/12/2003
Episode 10   Pay It Forward02/01/2004
Episode 11   Possum Day09/01/2004
Episode 12   The Boat Ramp16/01/2004
Episode 13   Comrad Harold23/01/2004
Episode 14   Spokesman Red30/01/2004
Episode 15   The Chain Letter06/02/2004
Episode 16   The Womens Circle13/02/2004
Episode 17   Ranger Harold20/02/2004
Episode 18   The Sink Hole27/02/2004
Episode 19   Cyber Girl05/03/2004
Episode 20   Hindsight Is 20-2010/03/2004

Season 14 
Episode 1   Reds Hot Sauce01/10/2004
Episode 2   Life Is A Circus08/10/2004
Episode 3   Once More To The Well15/10/2004
Episode 4   The Statue22/10/2004
Episode 5   False Idol07/11/2004
Episode 6   HaroldÃ¢â‚¬Ëœs One And Only12/11/2004
Episode 7   The Grapes Of Wrath19/11/2004
Episode 8   The Lodge Election01/01/1970
Episode 9   Ticket To Fame01/01/1970
Episode 10   Stay Tuned01/01/1970
Episode 11   The Butter Man16/12/2004
Episode 12   Red Green Insurance14/01/2005
Episode 13   Lodge Luau21/01/2005
Episode 14   Hoard Of The Flies28/01/2005
Episode 15   A Shot In The Dark04/02/2005
Episode 16   Bye Bye Bonnie11/02/2005
Episode 17   Fishy Canusa Games18/02/2005
Episode 18   The Possum Drop25/02/2005

Season 15 
Episode 1   Rules of Engagement28/10/2005
Episode 2   The Folk Art Convention04/11/2005
Episode 3   Mr. Clean11/11/2005
Episode 4   No Tell Boatel18/11/2005
Episode 5   Cell Hell25/11/2005
Episode 6   Cart Blanche02/12/2005
Episode 7   New Yorkshire Puddings09/12/2005
Episode 8   Exit Stag Right30/12/2005
Episode 9   Mad You Say?06/01/2006
Episode 10   No Place Like The Home13/01/2006
Episode 11   Flying Blind20/01/2006
Episode 12   The Bigger The Better27/01/2006
Episode 13   The Big Retreat03/02/2006
Episode 14   Rites Of Passage03/03/2006
Episode 15   Sasquatch10/03/2006
Episode 16   Rain Man17/03/2006
Episode 17   Love Is In The Air24/03/2006
Episode 18   Toe The Line31/03/2006
Episode 19   Do As I Do
