1-1	In Nomine (Intro)
1-2	Das Omen - Teil I
1-3	Requiem
1-4	Humunkulus (Men Of Glass)
1-5	The Beyond
1-6	Carma - Omen II
1-7	Fallen Angel
1-8	Dont Fly To High
1-9	Heaven's Door
1-10	Requiem - Instrumental
1-11	Humunkulus Dub Mix
1-12	Requiem "Jam ElMar Remix" Club Remix
1-13	Carma - Omen II "Jam ElMar Remix"
1-14	The Omen "Mike Staab Remix"
1-15	The Omen "Ben Liebrand Remix" Voguemix

2-1	Welcome
2-2	High On Mystic Mountain
2-3	Lovin' You
2-4	Awaken
2-5	Spirits
2-6	Atlantis
2-7	Magic
2-8	Love Town
2-9	Mystery Of Mysteries
2-10	Devil's Fight
2-11	Welcome "Inst. Mix"
2-12	High On Mystic Mountain "Inst. Mix"
2-13	Awaken "Dub Mix"
2-14	Lovin' You "New Mix"	1:55
2-15	Awaken "Remixed By DJ Wag And Arno Müller"
