TÍTULO ORIGINAL	Freedom Writers
AÑO	2007
DURACIÓN	123 min.
PAÍS	EEUU
DIRECTOR	Richard LaGravenese
GUIÓN	Richard LaGravenese (Libro: Freedom Writers, Erin Gruwell)
MÚSICA	Mark Isham, RZA
FOTOGRAFÍA	Jim Denault
REPARTO	Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Jason Finn, Hunter Parrish
PRODUCTORA	Paramount Pictures / MTV Films / Jersey Films
WEB OFICIAL	http://www.freedomwriters.com/
GÉNERO	Drama | Enseñanza
SINOPSIS	Erin Gruwell (Hilary Swank) es una joven profesora recién licenciada que empieza a trabajar dando clases de lengua en un instituto de Long Beach (California), cuyos alumnos, que viven en barrios marginales, están marcados por la violencia de las bandas. Después de un mal comienzo, descubre cómo ganarse su respeto y confianza y cómo ayudarles a cambiar: les habla de Ana Frank y de otros adolescentes, menos afortunados que ellos, que vivieron grandes tragedias y escribieron sobre ellas... (FILMAFFINITY)
