Release Date: 2003
Label: Contrasena
Bitrate: 256kbps

-----------------------------------------------------------------------------------
 #  Title                                  Composer                            Time
-----------------------------------------------------------------------------------
 1  If I Ever Fall in Love                                                     3:42
 2  Spithead Is Our Ours                                                       5:38
 3  Meaning of Our Lives                                                       3:41
 4  Family Way                                                                 4:37
 5  Money Now                                                                  2:59
 6  We Live in Staines                                                         2:22
 7  Break into Your Hreat                                                      3:51
 8  All Over England                                                           2:51
 9  Don't Cry Freedom                                                          3:59
10  You Lied to Me                                                             5:12
11  Girl from the Disco                                                        3:31
12  We Don't Need Religion                                                     4:48
13  Water Through My Hands                                                     6:04
14  Lolitta                                                                    4:20
15  Watching the City Close Down                                               4:32
16  Just Another Love Song                                                     3:35
17  This Ain't Poetry                                                          4:04
18  Living in Sin                                                              4:16
 
http://fai.music.metaservices.microsoft.com/FAI/AlbumMatch.aspx?locale=c0a&geoid=b&version=11.0.6002.18311&userlocale=2c0a&requestid=53C7FCDB-A0CF-41CE-8247-E1A90AA1CBD6&AlbumId=164491780&Volume=1&748=
