The Way 	Fastball
Song 2 	Blur
Flagpole Sitta 	Harvey Danger
Here and Now 	Letters to Cleo
One Week 	Barenaked Ladies
All Star 	Smashmouth
Inside Out 	Eve 6
Sex And Candy 	Marcy Playground
Barbie Girl 	Aqua
Sick of Myself 	Matthew Sweet
Basketcase 	Greenday
Mmm Mmm Mmm Mmm 	Crash Test Dummies
Champagne Supernova 	Oasis
No Myth 	Michael Penn
Popular 	Nada Surf
Possum Kingdom 	Toadies
My Sister 	Juliana Hatfield
Celebrity Skin 	Hole
Mother Mother 	Tracy Bonham
Seether 	Veruca Salt
Ready To Go 	Republica
Zombie 	Cranberries
Crash 	The Primitives
Connection 	Elastica
Tubthumping 	Chumbawumba
Honey White 	Morphine
Bellbottoms 	The Jon Spencer Blues Explosion
I'm Gonna Be (500 Miles) 	The Proclaimers
Stars 	Hum
In The Meantime 	Spacehog
Right Here, Right Now 	Jesus Jones
That Thing You Do 	The Wonders
I'm Too Sexy 	Right Said Fred
Loser 	Beck
Lump 	Presidents of the United States of America
Hobo Humpin' Slobo Babe 	Whale
Rush 	Big Audio Dynamite
Scotty Doesn't Know 	Lustra
Stacy's Mom 	Fountains Of Wayne
Hell 	Squirrel Nut Zippers
Down By The Water 	PJ Harvey
Brick 	Ben Folds Five
Creep 	Radiohead
Going The Distance 	Cake
Boyz In Tha Hood 	Dynamite Hack-
Fire Water Burn 	Bloodhound Gang
Bitches 	Mindless Self Indulgence
Buddy Holly 	Weezer
Teenage Dirtbag 	Wheatus
My Own Worst Enemy 	Lit
Semi-Charmed Life 	Third Eye Blind
Need You Around 	Smoking Popes
Frontier Psychiatrist 	The Avalanches
Stay 	Shakespear's Sister
Hippie Chic 	Soho
Sour Times 	Portishead
Here's Where The Story Ends 	The Sundays
Tom's Diner 	DNA - Susan Vega
James Brown Is Dead 	L.A. Style
Last 	Nine Inch Nails 
