ONE SHOT '80 Volume 3 (Love)
Traccia 	Artista 	Titolo 	Durata
1 	Modern Talking 	You're My Heart, You're My Soul 	3.22
2 	F.R. David 	Words 	3.26
3 	The Alan Parson Project 	Eye in The Sky 	4.32
4 	William Pitt 	City Lights 	3.46
5 	Lotus Eaters 	The First Picture of You 	5.27
6 	The Korgis 	Everybody's Got to Learn Sometime 	4.12
7 	Robert Palmer 	Johnny and Mary 	3.57
8 	Boston 	Amanda 	4.14
9 	Trio 	Da Da Da 	3.21
10 	Thompson Twins 	Doctor! Doctor! 	4.22
11 	Double 	The Captain of Her Heart 	4.29
12 	The Adventures 	Broken Land 	5.00
13 	Mike Oldfield 	Moonlight Shadow 	3.35
14 	Rupert Holmes 	Him 	4.06
15 	Glenn Frey 	You Belong to The City 	5.50
16 	Mike Francis 	Survivor 	4.17
17 	Kim Carnes 	Bette Davis Eyes 	4.41
18 	Lio 	Amourex Solitaires 	3.
