Machines Are Us
1-1	Comment V.2.0
1-2	Remove/Replace
1-3	Consumer
1-4	Shelter
1-5	Mono: Overload?
1-6	Existence In Progress
1-7	Faith: Not Important
1-8	Transfer: Complete
1-9	Dead Enough For Life
1-10	Wiretrip
1-11	Android
1-12	Sleep: Less
1-13	Pursuit
1-14	Release The Frequency/Afterwords

SoundDivE.P.
2-1	Then And Us (Exclusive Lmtd Box Track)
2-2	Sleep: Less (8am Version)
2-3	Transfer: Complete (Delobbo Remix)
2-4	Transfer:Complete (Pitch Black Mix By D.r.i.v.E.)
2-5	Consumer (No Sign Of JD On Mars Mix By Moonitor)
2-6	Wiretrip (Isle Of Crows Remix)
