The Fame Monster
1-1	The Fame Monster
1-2	Alejandro
1-3	Monster
1-4	Speechless
1-5	Dance In The Dark
1-6	Telephone
1-7	So Happy I Could Die
1-8	Teeth

The Fame
2-1	Just Dance
2-2	Lovegame
2-3	Paparazzi
2-4	Poker Face
2-5	I Like It Rough
2-6	Eh, Eh (Nothing Else I Can Say)
2-7	Starstruck
2-8	Beautiful, Dirty, Rich
2-9	The Fame
2-10	Money Honey
2-11	Boys Boys Boys
2-12	Paper Gangsta
2-13	Brown Eyes
2-14	Summerboy

Bonus Tracks
2-15	Disco Heaven (International Bonus Track)
2-16	Again Again (British-Edition Bonus Track)
2-17	Retro Dance Freak (Japanese-Edition Bonus Track)
