1-1	Hello Hooray
1-2	Raped And Freezin'
1-3	Elected
1-4	Billion Dollar Babies
1-5	Unfinished Sweet
1-6	No More Mr. Nice Guy
1-7	Generation Landslide
1-8	Sick Things
1-9	Mary Ann
1-10	I Love The Dead

Disc II: Live / Outtakes
2-1	Hello Hooray (Live 1973)
2-2	Billion Dollar Babies (Live 1973)
2-3	Elected (Live 1973)
2-4	I'm Eighteen (Live 1973)
2-5	Raped And Freezin' (Live 1973)
2-6	No More Mr. Nice Guy (Live 1973)
2-7	My Stars (Live 1973)
2-8	Unfinished Sweet (Live 1973)
2-9	Sick Things (Live 1973)
2-10	Dead Babies (Live 1973)
2-11	I Love The Dead (Live 1973)
2-12	Coal Black Model T (Outtake)
2-13	Son Of Billion Dollar Babies (Generation Landslide) (Outtake)
2-14	Slick Black Limousine
