CD 1
1-1	Pandemonium
1-2	Instincts Of Perversion
1-3	Untold Blasphemies
1-4	Bloodshed
1-5	Child's Eternity
1-6	Forgotten Tears
1-7	Un Alma Y El Vacio
1-8	Twisted Lines
1-9	En Otro Lado
1-10	Wounds
1-11	Callate El Hocico
1-12	Born To Be (Hated) (Feindflug Remix)
1-13	Born To Be (Hated) (Supreme Court Remix)
1-14	Born To Be (Hated) (HIV+ Remix)

CD 2
2-1	Grito De Las Entrañas
2-2	Ruptura
2-3	La Muerte De Un Enemigo
2-4	Ladykiller (In Cold Blood)
2-5	Silent Wrath (I Break)
2-6	Untold Blasphemies V.1 (Gate Mix)
2-7	Untold Blasphemies V.2 (Trim Mix)
2-8	Untold Blasphemies V.3 (Accessory Mix)
2-9	Juego En Silencio (Sangre Mia)
2-10	Born To Be (Hated) (Original Odium)
2-11	Winds Of Treason
2-12	Born To Be (Hated) (Metetelo Por El Culo Version)
2-13	Ruptura (Apoptygma Vs. Drugwar Remix)
