CD 1
1-1	Swamped
1-2	Heaven's A Lie
1-3	Daylight Dancer
1-4	Humane
1-5	Self Deception
1-6	Aeon
1-7	Tight Rope
1-8	The Ghost Woman And The Hunter
1-9	Unspoken
1-10	Entwined
1-11	The Prophet Said
1-12	Angel's Punishment
1-13	Comalies

CD 2
2-1	Heaven's A Lie (Radio Edit)
2-2	Swamped (Radio Edit)
2-3	Heaven's A Lie (Acoustic)
2-4	Swamped (Acoustic)
2-5	Unspoken (Acoustic)
2-6	Senzafine (Acoustic)
2-7	Heaven's A Lie (Live Acoustic On WAAF)
2-8	Senzafine (Live Acoustic On WAAF)
2-9	Aeon (Live Acoustic On WAAF)
