CD 1
1-1	Cuando La Maldad Despierta
1-2	Odio En El Alma
1-3	Being Of Relief
1-4	Final Ressource
1-5	Hell On Earth
1-6	Gota De Sangre
1-7	Temple Of Lies
1-8	Sexo Bajo Testosterona (Frenetik Mix '96)
1-9	Sad Scorn
1-10	Slow Death
1-11	Face To Face
1-12	Self Destructive Path

CD 2
2-1	There Was A Time
2-2	Banished
2-3	Without A God
2-4	Raging Soul
2-5	Flesh Of Your Flesh
2-6	Hanged Truth
2-7	Signo De Muerte
2-8	Devouring Rage
2-9	Mortal Celebration
2-10	La Fosa Del Maldito
2-11	El Día De La Ira
2-12	Coward As A Slave
2-13	Odio En El Alma (Dirty Mix)
2-14	Being Of Relief (Instrumental)
