The Dark Knight Rises (Original Motion Picture Soundtrack) 	
No. 	Title 	Length 	
1. 	"A Storm is Coming"   	                0:37
2. 	"On Thin Ice"   	                2:55
3. 	"GothamΓÇÖs Reckoning"   	                4:08
4. 	"Mind if I Cut in?"   	                3:27
5. 	"Underground Army"   	                3:12
6. 	"Born in Darkness"   	                1:57
7. 	"The Fire Rises"   	                5:33
8. 	"Nothing Out There"   	                2:51
9. 	"Despair"   	                        3:14
10. 	"Fear Will Find You"   	                3:08
11. 	"Why Do We Fall?"   	                2:03
12. 	"Death By Exile"   	                0:23
13. 	"Imagine the Fire"   	                7:25
14. 	"Necessary Evil"   	                3:16
15. 	"Rise"   	                        7:11
Total length:                                  51:20
Bonus Tracks 	
16. 	"Bombers Over Ibiza" (Junkie XL Remix) 	5:51
17. 	"The Shadows Betray You"                5:20
18. 	"The End"   	                        6:13
17. 	"No Stone Unturned"   	                7:29
18. 	"Risen from Darkness"   	        4:27	
16. 	"All Out War"   	                3:17
