CD 1
1-1	Chocolate
1-2	Chasing Cars
1-3	Crack The Shutters
1-4	Set The Fire To The Third Bar
1-5	Crazy In Love
1-6	Just Say Yes
1-7	Batten Down The Hatch
1-8	You're All I Have
1-9	Hands Open
1-10	Cartwheels
1-11	The Planets Bend Between Us
1-12	Ask Me How I Am
1-13	On/Off
1-14	Making Enemies
1-15	Run (Mencap Little Noise Sessions, Live At The Union Chapel)

CD 2
2-1	Take Back The City
2-2	Shut Your Eyes
2-3	An Olive Grove Facing The Sea (2009 Version)
2-4	Run
2-5	Give Me Strength
2-6	Signal Fire
2-7	Spitting Games
2-8	Open Your Eyes
2-9	Dark Roman Wine
2-10	Fifteen Minutes Old
2-11	You Are My Joy
2-12	The Golden Floor
2-13	Starfighter Pilot
2-14	PPP
2-15	Chasing Cars (Mencap Little Noise Sessions, Live At The Union Chapel)
