NO	TITLE                                 	ARTIST

01.	Swine                                 	Getter
02.	Hold On To Love (KillaGraham Remix)   	Hirshee, Sue Cho
03.	Spectrum Feat. Matthew Koma (Monsta Remix)	Zedd, Matthew Koma, Monsta
04.	Trouble                               	Eptic
05.	Eyes (Alvin Risk Remix)               	Kaskade
06.	When the Rain is Gone (Adam F VIP Mix)	Adam F/Cory Enemy
07.	Internet Friends (Camson Dubstep VIP Refix)	Knife Party, Camson
08.	FaCe                                  	LabRat
09.	Time Machine (Statelapse Remix)       	The Autobots
10.	Fire It Up (CTK Dubstep Remix)        	KOF Feat. Wiley & Chelcee
11.	Gunpoint (VIP Mix)                    	Pegboard Nerds
12.	Like A B0:55                          	Spag Heddy
13.	Akira (Habstrakt Remix)               	KOAN Sound/Habstrakt
14.	Overdose                              	D-jahsta
15.	The Atom                              	Doctrine
16.	Full Metal Jacket                     	Mayhem, Bare, Logam, TL
17.	Let It All Bleed Out (Document One Remix)	Rob Zombie
18.	Stuntin'                              	Twitch
