CD 1: Lichter Der Stadt
1-1	Das Licht (Intro)
1-2	Herzwerk
1-3	So Wie Du Warst
1-4	Tage Wie Gold
1-5	Wie Wir Waren
1-6	Unsterblich
1-7	Feuerland
1-8	Lichter Der Stadt
1-9	Ein Guter Weg
1-10	Ein Großes Leben
1-11	Brenne Auf
1-12	Zeitreise
1-13	Das Leben Ist Schön
1-14	Eisenmann
1-15	Vergessen
1-16	Die Stadt (Instrumental)

CD 2: Produktionsdemos
2-1	Brenne Auf (Demoversion)
2-2	Das Leben Ist Schön (Demoversion)
2-3	So Wie Du Warst (Demoversion)
2-4	Ein Großes Leben (Demoversion)
2-5	Ein Guter Weg (Demoversion)
2-6	Herzwerk (Demoversion)
2-7	Wie Wir Waren (Demoversion)
2-8	Unsterblich (Demoversion)
2-9	Vergessen (Demoversion)
2-10	Zeitreise (Demoversion)
