CD 1
1-1	El Infierno Que Viene
1-2	Tales From The Third World
1-3	Bizarre Words
1-4	Spirits Of Crime
1-5	Born To Be (Hated) - Original Odium
1-6	Love Posing As A Prostitute
1-7	Ecos
1-8	Oración Nocturna
1-9	Death As A Gift
1-10	Padre No Nuestro
1-11	Untitled
1-12	Keep Barking Dogs

CD 2
2-1	Untold Blasphemies (Aslan Faction Remix)
2-2	Ruptura (God Module Remix)
2-3	Without A God (Left In Ruins By KiEw)
2-4	Forgotten Tears (Suicide Commando Remix)
2-5	Twisted Lines (Boiling Turmoil Remix By Solitary Experiments)
2-6	Ladykiller (Don't Rape The Dead Girl By Terminal Choice)
2-7	Ruptura (Motherfucker 667 Remix By Combichrist)
2-8	Without A God (Electroid Remix By Soman)
2-9	Forgotten Tears (Boys Don't Cry By Haujobb)
2-10	Ladykiller (Obedience Remix)
2-11	Without A God (Dioxide Remix)
2-12	Forgotten Tears (Live Out-Take)
2-13	Scars
2-14	Not Like You (Apestas! Version)
