NO	TITLE                                 	ARTIST

01.	You're Gonna Love Again               	Nervo Feat. Avicii
02.	I Don't Wann Dance                    	Alex Gaudino
03.	Let Out A Freak                       	Spencer & Hill
04.	We'll Be Coming Back                  	Calvin Harris Feat. Example
05.	End Of The Time (Wideboys Remix)      	Beyonce
06.	In My Mind                            	G&G Vs. D-Jastic
07.	Metropolis                            	David Guetta & Nicky Romero
08.	Rambazamba                            	Niels Van Gogh & Emilio Verdez
09.	Dabop                                 	WTF
10.	Burn It Down (Paul Van Dyk Remix)     	Linkin Park
11.	Turn Up The Radio (Laidback Luke Remix)	Madonna
12.	Pulsar                                	Klaas
13.	Gypsy Woman (Keejay Freak Remix)      	Crystal Waters
14.	Take Me To The Clouds Above           	Micha Moor
15.	Scream (Seamus Haji Remix)            	Usher
16.	Overdose 2012                         	Tomcraft
17.	Bad (Afrojack Remix)                  	Michael Jackson Feat. Pitbull
18.	We Own The Night                      	Tiesto & Wolfang Gartner
19.	Pump Up The Jam                       	Criminal Vibes
20.	Funky Radio                           	Groove Phenomenon
