CD1
1-1	Umbrella
1-2	Push Up On Me
1-3	Don't Stop The Music
1-4	Breakin' Dishes
1-5	Shut Up And Drive
1-6	Hate That I Love You
1-7	Say It
1-8	Sell Me Candy
1-9	Lemme Get That
1-10	Rehab
1-11	Question Existing
1-12	Good Girl Gone Bad

Bonus Track
1-13	Cry

CD2 - Remix Bonus Disc
2-1	Umbrella (Seamus Haji & Paul Emanuel Remix)
2-2	Shut Up And Drive (The Wideboys Club Mix)
2-3	Breakin' Dishes (Soul Seekerz Remix)
2-4	Don't Stop The Music (The Wideboys Club Mix)
2-5	Question Existing (The Wideboys Club Mix)
2-6	Hate That I Love You (K-Klassic Remix)
2-7	Push Up On Me (Moto Blanco Club Mix)
2-8	Good Girl Gone Bad (Soul Seekerz Remix)
2-9	Haunted (Steve Mac Classic Mix)
2-10	Say It (Soul Seekerz Remix)
2-11	Cry (Steve Mac Classic Mix)
2-12	S.O.S. (Digital Dog Remix)
