ARTiST....[ VA
TiTLE.....[ Sounds From The Matrix 13
GENRE.....[ Electronic
LABEL.....[ Alfa Matrix
KHZ.......[ 44,1
MODE......[ 256kbps / Joint-Stereo
ENCODER...[ Lame 3.98.4
REL.DATE..[ 10.17.2012

[TRACKLiST]
Nr. TRACK                                TiME:

01 Junkista - Department Store                           03:56
02 Diskonnekted - Yesteryears                            05:15
03 Helalyn Flowers - White Me In Black Me Out            03:38
04 Krystal System - I Wanna Be (Red Cross Mix)           04:09
05 Lovelorn Dolls - After Dark                           04:28
06 Freakangel - Porcelain Doll (Skyla Vertex Mix)        05:17
07 Ambassador21 - Megeneration (Hackyourself Mix)        04:31
08 I:scintilla - Skin Tight                              03:44
09 Ayria - Hunger                                        04:41
10 Psy'aviah - Virtual Gods (Short Circuit Edit)         03:47
11 Cynical Existence - Face Of God                       03:39
12 Aesthetische - Less But More (New School Remix)       05:56
13 Mari Chrome - Here I Am                               05:06
14 Technoir - Believe                                    04:19
15 Metroland - Harry Beck                                03:39
16 Implant - Biodigital Nightmare                        04:48
17 Suicide Inside - Learn To Swallow H                   05:15
(Aesthetische Mix)
18 Plastic Noise Experience - Mercy                      03:02

TOTAL PLAYTiME (MiN): 79:10
