1-1	Daydreamer
1-2	Best For Last
1-3	Chasing Pavements
1-4	Cold Shoulder
1-5	Crazy For You
1-6	Melt My Heart To Stone
1-7	First Love
1-8	Right As Rain
1-9	Make You Feel My Love
1-10	My Same
1-11	Tired
1-12	Hometown Glory

Bonus Disc: Acoustic Set Live From The Hotel Cafe, Los Angeles
2-1	Chasing Pavements
2-2	Melt My Heart To Stone
2-3	That's It, I Quit, I'm Moving On
2-4	Crazy For You
2-5	Right As Rain
2-6	My Same
2-7	Make You Feel My Love
2-8	Daydreams
2-9	Hometown Glory
2-10	Many Shades Of Black
