CD 1
1-1	When Love Takes Over
1-2	Gettin' Over
1-3	Sexy Bitch
1-4	Delirious
1-5	On The Dancefloor
1-6	It's The Way You Love Me
1-7	Missing You
1-8	Choose
1-9	How Soon Is Now
1-10	I Gotta Feeling (FMIF Remix Edit)
1-11	One Love
1-12	I Wanna Go Crazy
1-13	Sound Of Letting Go
1-14	Toyfriend
1-15	If We Ever

CD 2
2-1	Who's That Chick?
2-2	Gettin' Over You
2-3	Revolver
2-4	Commander
2-5	Acapella
2-6	Missing You (New Version)
2-7	Louder Than Words
2-8	Freak
2-9	Bitch (Chuckie & Lil Jon Remix Edit)
2-10	Grrrr
2-11	Love Don't Let Me Go (Walking Away)
2-12	The World Is Mine
2-13	Love Is Gone
