authors	languages	title
Edgar Rice Burroughs	eng	A Princess of Mars

Mark Twain, Sally M. Stockton	eng	The Adventures of Tom Sawyer

Oliver Ho, Mark Twain, Dan Andreasen	eng	The Adventures of Huckleberry Finn

Katie Daynes, Mary Sebag-Montefiore, Charles Dickens, Barry Ablett	eng	A Tale of Two Cities

Sunzi	eng	The Art of War

Charles Dickens, Jeremy Tambling	eng	David Copperfield

Emily Bronte	eng	Wuthering Heights

Oscar Wilde	eng	The Importance of Being Earnest

Agatha Christie, Frank Leclercq	eng	The Secret Adversary

Alexandre Dumas, Stephen Feinstein	eng	The Count of Monte Cristo

Niccolò Machiavelli	eng	The Prince
Walt Whitman	eng	Leaves of Grass

William Blanchard, Jane Austen	eng	Pride and Prejudice (Maxnotes Literature Guides)

Charles Dickens, Edgar Rosenberg	eng	Great Expectations

Leo Tolstoy (graf)	eng	War and Peace

James Joyce	eng	Ulysses

Franz Kafka, Martin Jarvis, Franz Kafka	eng	Metamorphosis

Dante Alighieri	eng	The Divine Comedy by Dante, Illustrated, Purgatory

Ed. Alexander Jessup	eng	The Best American Humorous Short Stories

Benjamin L D'Ooge	eng	Latin for Beginners - the Original Classic Edition

E. M. Berens	eng	The Myths and Legends of Ancient Greece and Rome

Vatsyayana	eng	The Kama Sutra of Vatsyayana: Translated From the Sanscrit. In Seven Parts, With Preface, Introduction, and Concluding Remarks.
