CD 1
1-1	Once Upon Atrocity
1-2	Thirteen Autumns And A Widow
1-3	Cruelty Brought Thee Orchids
1-4	Beneath The Howling Stars
1-5	Venus In Fear
1-6	Desire In Violent Overture
1-7	The Twisted Nails Of Faith
1-8	Bathory Aria
1-8.1	Benighted Like Usher
1-8.2	A Murder Of Ravens In Fugue
1-8.3	Eyes That Witnessed Madness
1-9	Portrait Of The Dead Countess
1-10	Lustmord And Wargasm (The Lick Of Carnivorous Winds)

CD 2
2-1	Lustmord And Vargasm (The Relicking Of Cadaverous Wounds)
2-2	Black Metal (Venom Cover)
2-3	Hallowed By Thy Name (Iron Maiden Cover)
2-4	Sodomy And Lust (Sodom Cover)
2-5	Twisting Further Nails (The Crucifiction Mix)
